ID;Type of Car;Visits to Website;Visits to Dealer;HH Rank;Age;Income;Net Worth;Credit Lines;Education;Num Kids;Years in Home;Num People;Home Value
3259;Luxury Sedan;1;0;1;55;17;8;1;3;2;3;4;14
3288;Basic Sedan;1;0;1;59;15;9;2;1;4;10;3;4
3299;Luxury Sedan;1;0;1;76;12;9;1;1;0;15;2;4
3343;Luxury Sedan;0;0;1;65;19;9;5;2;1;15;3;15
3344;Basic Sedan;1;0;1;56;14;2;5;2;6;15;3;10
3452;Basic Sedan;0;0;1;63;12;2;3;1;4;15;2;7
3484;Basic Sedan;0;0;1;62;13;2;3;2;2;15;3;6
3532;Luxury Sedan;1;0;1;71;18;9;5;3;1;15;3;17
3818;Pickup Truck;1;0;1;60;15;5;1;2;1;2;1;9
3845;SUV;0;0;1;61;15;9;1;1;4;15;4;15
3868;SUV;1;0;1;51;18;9;1;1;3;3;2;15
3887;Luxury Sedan;1;0;1;67;16;9;4;2;2;15;5;11
3918;Luxury Sedan;1;1;1;54;16;9;3;3;2;15;4;15
3938;Pickup Truck;0;0;1;61;15;7;1;2;0;12;2;10
3940;SUV;1;0;1;47;18;7;1;2;5;12;2;9
3985;Basic Sedan;0;0;1;60;9;2;1;1;1;15;2;5
4005;Basic Sedan;1;0;1;55;13;2;1;2;1;13;1;4
4014;Luxury Sedan;0;0;1;80;15;9;3;3;1;15;2;9
4016;Basic Sedan;0;0;1;61;14;7;1;1;2;15;3;7
4054;Luxury Sedan;1;0;1;73;14;8;1;1;0;15;3;8
4057;SUV;1;0;1;48;18;8;1;3;5;14;2;12
4092;Basic Sedan;1;0;1;64;15;7;1;3;1;15;4;8
4121;Basic Sedan;0;0;1;68;15;6;1;1;0;15;2;7
4187;Basic Sedan;1;0;1;63;14;7;4;2;3;15;3;14
4190;Luxury Sedan;1;0;1;70;14;9;2;3;0;14;3;13
4202;Basic Sedan;0;0;1;57;11;4;2;2;1;15;4;2
4215;Luxury Sedan;1;0;1;75;7;8;5;1;1;7;2;17
4378;Luxury Sedan;0;0;1;71;14;9;1;2;0;15;2;9
4413;Luxury Sedan;1;6;1;61;15;9;1;2;1;15;2;15
4468;Basic Sedan;1;0;1;78;5;2;1;1;1;10;4;4
4563;Luxury Sedan;0;0;1;55;15;7;1;1;2;15;3;9
4608;Basic Sedan;1;0;1;72;5;2;1;1;1;15;1;3
4651;Luxury Sedan;1;0;1;78;13;8;1;1;0;15;2;10
4690;SUV;1;0;1;38;14;6;1;3;2;2;1;12
4696;SUV;1;0;1;42;15;7;1;3;4;8;1;8
4799;SUV;1;0;1;44;15;7;1;1;5;11;2;11
4810;Luxury Sedan;0;0;1;47;18;8;1;2;2;8;2;10
4816;Luxury Sedan;0;0;1;62;14;8;1;2;2;2;3;10
4827;Luxury Sedan;1;0;1;67;19;9;2;1;1;15;3;19
4933;Luxury Sedan;0;0;1;71;15;9;6;1;1;15;2;11
5088;Luxury Sedan;1;0;1;65;16;9;4;1;1;15;1;17
5101;Luxury Sedan;1;0;1;75;15;8;1;3;0;13;2;10
5123;SUV;0;0;1;46;17;9;1;3;3;13;1;17
5134;Basic Sedan;1;0;1;70;3;6;1;1;1;9;4;1
5170;Luxury Sedan;1;0;1;79;15;9;1;2;0;15;2;9
5198;Luxury Sedan;0;0;1;44;19;9;5;1;1;13;3;13
5267;Basic Sedan;1;0;1;76;4;7;1;2;0;15;1;6
5296;SUV;0;0;1;51;15;4;1;2;4;15;4;3
5333;Luxury Sedan;0;1;1;70;15;9;1;3;2;10;6;17
5371;Basic Sedan;0;0;1;55;12;3;1;2;1;15;4;6
5388;Basic Sedan;0;0;1;75;16;8;1;1;5;8;3;12
5446;Pickup Truck;1;0;1;57;18;9;1;2;4;15;2;12
5460;Basic Sedan;1;0;1;66;15;7;1;1;5;15;3;8
5462;Luxury Sedan;1;0;1;54;19;9;4;2;2;15;3;19
5483;Basic Sedan;1;0;1;58;1;1;2;2;1;14;1;5
5595;Luxury Sedan;0;0;1;56;14;7;1;4;3;15;3;7
5619;SUV;1;0;1;52;19;8;1;2;4;7;2;14
5676;Basic Sedan;1;0;1;65;13;6;4;2;0;9;2;6
5688;Luxury Sedan;1;0;1;75;15;9;1;3;0;14;3;14
5723;Basic Sedan;0;0;1;59;14;9;5;3;3;15;3;6
5749;Basic Sedan;1;0;1;69;12;7;2;1;0;12;2;11
5780;Basic Sedan;0;0;1;59;13;4;3;3;5;10;2;7
5807;SUV;1;0;2;50;12;6;2;2;4;15;2;1
5833;Luxury Sedan;0;0;1;64;15;9;1;3;1;2;3;17
5845;Basic Sedan;1;5;1;47;13;4;1;1;2;2;2;6
5904;Luxury Sedan;1;0;1;68;15;8;1;3;0;15;3;13
5948;Luxury Sedan;1;0;1;65;15;9;2;1;0;15;2;11
5949;Luxury Sedan;1;0;1;76;15;8;1;4;0;15;3;12
5982;Luxury Sedan;0;0;1;59;14;6;1;1;5;15;3;6
6036;SUV;1;0;1;45;18;8;6;2;5;13;2;13
6078;Luxury Sedan;1;0;1;69;14;9;2;1;0;13;2;10
6124;Basic Sedan;1;0;1;49;11;5;1;2;1;3;4;7
6136;Basic Sedan;1;0;1;59;14;7;5;1;2;15;4;12
6224;Pickup Truck;0;0;1;47;14;7;6;1;2;7;3;10
6239;Basic Sedan;1;0;1;59;14;7;3;2;1;15;2;7
6308;SUV;0;3;1;52;19;8;1;2;5;11;3;13
6314;Basic Sedan;1;0;1;77;6;3;1;1;2;3;3;1
6330;SUV;1;0;1;49;15;9;4;3;6;14;4;13
6359;Luxury Sedan;1;0;1;77;13;9;1;3;0;15;1;12
6382;Luxury Sedan;1;0;1;67;15;8;4;2;0;15;4;18
6384;Luxury Sedan;1;0;1;47;15;8;1;1;2;1;2;13
6401;Luxury Sedan;1;0;1;63;6;8;3;2;2;8;2;7
6420;Basic Sedan;1;0;1;70;15;7;1;2;0;15;2;9
6449;Luxury Sedan;0;0;1;63;19;9;1;2;1;14;2;17
6469;Luxury Sedan;1;0;1;79;14;9;6;1;1;15;1;17
6475;Luxury Sedan;0;2;1;58;16;9;1;1;1;13;1;14
6612;Luxury Sedan;1;0;1;52;17;9;1;2;1;7;2;15
6616;Luxury Sedan;1;0;1;74;17;8;1;1;0;14;2;6
6623;SUV;1;0;1;51;16;9;1;3;6;12;3;14
6629;Luxury Sedan;0;0;1;74;11;8;3;1;0;15;2;6
6658;Pickup Truck;1;0;1;61;7;2;1;1;3;15;3;6
6720;Luxury Sedan;0;0;1;68;16;9;1;2;1;15;2;14
6748;SUV;1;0;1;46;13;4;4;1;4;3;1;3
6760;Luxury Sedan;1;0;1;84;14;9;1;3;1;13;2;5
6841;Basic Sedan;1;0;1;43;5;1;1;2;2;14;1;7
6853;SUV;0;0;1;51;15;7;1;3;4;15;2;9
6895;Luxury Sedan;1;0;1;60;18;8;5;2;1;0;4;13
6896;SUV;1;0;1;51;15;8;1;2;4;15;2;14
6906;Luxury Sedan;1;0;1;52;18;9;4;4;2;15;4;15
6928;Basic Sedan;1;0;1;64;14;7;2;2;3;3;3;9
6935;SUV;1;0;1;72;19;9;1;3;4;14;3;17
7011;Luxury Sedan;1;0;1;74;10;6;1;2;3;15;4;6
7099;SUV;1;0;1;49;15;7;2;2;6;15;3;3
7107;SUV;1;0;1;48;19;9;1;2;4;8;2;17
7111;Basic Sedan;1;0;1;68;14;7;9;2;1;15;2;6
7147;Pickup Truck;1;0;1;70;14;7;5;1;0;15;3;10
7155;SUV;1;0;1;51;15;6;1;1;4;14;4;8
7186;Pickup Truck;1;0;1;57;15;4;2;2;1;13;4;7
7204;Basic Sedan;1;0;1;59;14;2;2;2;3;15;3;6
7214;Luxury Sedan;1;0;1;60;15;8;5;1;1;15;5;17
7269;Luxury Sedan;0;0;1;54;15;8;1;3;1;15;3;14
7273;Luxury Sedan;1;0;1;62;14;9;2;1;0;15;2;7
7281;Luxury Sedan;1;0;1;64;15;8;3;1;1;15;4;13
7307;Basic Sedan;1;0;1;42;9;5;1;2;2;15;2;6
7325;Luxury Sedan;0;0;1;51;19;8;1;3;1;13;3;11
7378;Pickup Truck;1;0;1;54;8;7;3;2;1;4;6;10
7410;Luxury Sedan;0;0;1;57;14;7;4;2;0;15;3;12
7429;Luxury Sedan;0;0;1;72;14;9;4;3;1;9;3;8
7442;Basic Sedan;0;0;1;71;13;6;2;1;2;15;5;8
7482;Luxury Sedan;1;0;1;55;15;7;1;2;2;6;3;13
7508;Basic Sedan;1;0;1;62;13;7;1;2;0;13;2;17
7511;Basic Sedan;1;0;1;69;11;7;1;1;1;15;5;5
7523;Luxury Sedan;1;0;1;68;15;8;4;2;0;1;2;13
7633;Basic Sedan;1;0;1;59;12;7;2;1;1;15;2;14
7635;Luxury Sedan;1;0;1;58;14;8;4;1;2;15;1;11
7665;SUV;1;0;1;44;19;9;1;2;5;13;2;14
7667;SUV;1;1;1;40;15;7;1;1;4;14;2;12
7729;Luxury Sedan;1;0;2;50;13;8;1;2;1;15;2;15
7738;Luxury Sedan;1;0;1;62;18;9;5;3;1;12;3;19
7759;SUV;0;0;1;47;14;4;1;3;4;15;3;6
7773;Luxury Sedan;1;0;1;50;16;7;1;1;1;7;2;13
7801;Luxury Sedan;0;2;1;54;16;9;4;2;2;15;5;17
7815;Basic Sedan;1;0;1;66;9;5;3;4;1;15;1;6
7846;Luxury Sedan;1;0;1;72;14;9;1;2;0;15;2;13
7847;Luxury Sedan;1;0;1;72;18;9;3;2;0;15;2;17
7861;SUV;1;0;1;42;13;1;3;2;7;12;2;10
7872;SUV;1;0;1;49;14;4;1;1;4;14;1;5
7883;SUV;1;0;1;52;15;9;1;1;3;15;4;14
7884;Basic Sedan;1;0;1;39;15;7;1;3;1;6;2;10
7919;Luxury Sedan;1;0;1;78;12;8;1;3;0;1;2;6
7988;Basic Sedan;1;0;1;72;9;2;2;1;0;15;2;4
8017;Basic Sedan;0;0;1;59;18;7;1;3;1;1;1;11
8076;Basic Sedan;1;0;1;65;13;8;1;2;3;15;4;15
8107;SUV;0;0;1;47;17;8;1;2;4;10;1;9
8125;Luxury Sedan;1;0;1;62;13;8;4;2;2;15;5;14
8151;SUV;1;0;1;44;15;7;1;2;5;15;2;8
8170;SUV;1;0;1;70;2;2;1;1;3;15;4;4
8207;Luxury Sedan;0;0;1;55;14;9;4;3;1;15;2;15
8233;SUV;1;0;1;48;17;7;1;1;4;12;2;12
8247;Basic Sedan;1;2;1;72;11;7;3;2;0;15;1;5
8366;Pickup Truck;0;0;1;55;15;9;1;1;4;15;5;13
8398;Luxury Sedan;1;0;1;72;19;9;5;1;0;2;2;17
8404;Basic Sedan;1;0;1;63;13;6;1;2;1;15;1;4
8406;Luxury Sedan;1;4;1;69;14;7;1;3;2;15;4;10
8410;Luxury Sedan;0;0;1;60;19;9;4;2;1;14;2;18
8446;Luxury Sedan;0;0;1;64;14;8;3;3;0;15;3;11
8551;Luxury Sedan;0;0;1;57;19;9;1;1;1;15;4;17
8637;Luxury Sedan;1;0;1;80;9;8;1;1;1;15;4;14
8747;SUV;1;0;1;43;15;7;3;2;6;15;2;6
8785;Luxury Sedan;0;0;1;50;15;9;2;2;2;15;1;13
8860;SUV;0;0;1;48;17;7;4;2;4;3;3;11
8891;Basic Sedan;0;0;1;52;5;5;1;1;1;6;2;5
8928;Pickup Truck;0;0;1;80;14;6;5;1;4;6;3;4
8956;SUV;1;0;1;47;14;7;1;3;4;13;2;16
9014;Pickup Truck;0;0;1;65;16;9;4;3;3;11;3;19
9031;Basic Sedan;1;0;1;59;14;7;2;1;2;15;4;6
9099;Basic Sedan;1;0;1;64;12;7;1;1;1;15;2;9
9151;SUV;1;0;1;48;19;9;2;2;4;3;2;14
9160;Basic Sedan;1;0;1;62;12;5;4;1;0;15;2;3
9172;Luxury Sedan;0;4;1;56;19;9;1;2;1;2;2;19
9209;Luxury Sedan;1;0;1;69;18;8;1;2;0;15;2;17
9224;Basic Sedan;0;1;1;67;15;8;1;2;3;15;3;8
9263;Luxury Sedan;1;0;1;60;16;8;1;2;2;2;3;12
9296;Luxury Sedan;0;0;1;56;15;9;1;2;2;13;2;16
9317;Luxury Sedan;1;0;1;75;12;8;4;2;2;15;1;15
9352;Luxury Sedan;1;2;1;80;16;9;1;2;0;14;2;17
9354;Luxury Sedan;1;0;1;51;18;9;1;2;2;3;2;18
9355;Luxury Sedan;1;0;1;63;15;8;1;1;0;15;4;13
9388;Basic Sedan;0;0;1;68;2;4;1;1;0;15;2;14
9403;SUV;0;1;1;49;6;5;1;2;4;15;3;5
9406;Luxury Sedan;1;0;1;61;15;8;3;3;0;15;3;10
9433;SUV;0;0;1;54;15;9;3;2;3;15;2;8
9435;Luxury Sedan;1;0;1;39;14;9;2;1;1;13;1;15
9444;Basic Sedan;0;0;1;52;15;7;1;1;2;15;3;10
9460;SUV;1;0;1;53;15;6;4;3;4;15;3;8
9463;Luxury Sedan;0;0;1;72;15;8;1;4;0;15;3;11
9464;Basic Sedan;1;0;1;69;2;2;4;2;0;15;1;5
9474;Basic Sedan;1;0;1;76;12;7;2;1;0;15;2;8
9478;Luxury Sedan;1;0;1;77;16;9;1;1;1;6;2;17
9558;Luxury Sedan;1;0;1;58;12;7;2;2;4;15;2;3
9568;Luxury Sedan;1;0;1;62;15;9;4;3;1;15;4;16
9579;Luxury Sedan;0;0;1;76;7;6;1;3;4;15;3;13
9585;Luxury Sedan;1;0;1;56;14;7;1;3;3;15;3;11
9608;Luxury Sedan;0;0;1;56;14;8;1;1;1;8;1;10
9689;Luxury Sedan;1;0;1;65;18;9;3;3;1;15;2;12
9740;SUV;1;0;1;45;17;7;4;2;4;3;3;9
9744;Basic Sedan;1;0;1;56;17;9;5;3;3;15;3;15
9781;SUV;1;0;1;51;15;6;3;3;4;13;2;12
9793;Pickup Truck;1;0;1;72;18;9;5;3;4;15;3;16
9834;SUV;1;0;1;50;12;2;3;2;4;12;5;8
9842;Luxury Sedan;1;0;1;55;14;8;3;1;2;15;3;17
9888;SUV;0;0;1;53;14;5;1;1;3;6;4;9
9902;Pickup Truck;1;0;1;63;15;7;1;2;0;13;2;4
9918;Luxury Sedan;1;0;1;60;18;9;1;3;2;15;3;15
9935;SUV;1;0;1;43;17;6;1;1;0;15;2;5
9959;Luxury Sedan;0;0;1;69;15;8;1;1;2;15;3;11
9975;Luxury Sedan;1;0;1;60;15;6;2;2;2;9;3;7
10057;Luxury Sedan;1;0;1;70;15;9;1;3;0;15;2;14
10091;SUV;1;0;1;39;15;8;3;1;4;15;1;15
10104;Basic Sedan;0;0;1;72;16;9;1;1;4;15;2;16
10121;Luxury Sedan;1;0;1;86;19;9;5;2;1;15;1;17
10146;Luxury Sedan;1;1;1;71;11;6;1;1;4;15;4;5
10213;Luxury Sedan;1;0;1;61;16;9;1;2;2;15;3;15
10225;SUV;0;0;1;72;15;6;2;2;0;15;2;7
10263;Luxury Sedan;1;0;1;42;19;9;2;3;0;4;2;17
10328;Luxury Sedan;1;0;1;65;15;9;1;1;0;15;5;17
10348;Luxury Sedan;1;0;1;78;11;8;1;3;0;15;3;9
10364;Basic Sedan;1;0;1;64;14;7;6;2;2;3;4;7
10392;Basic Sedan;1;0;1;71;14;5;5;1;2;15;4;7
10406;Pickup Truck;1;0;1;58;14;8;2;1;3;14;1;11
10461;Luxury Sedan;0;0;1;69;17;9;2;3;2;9;3;10
10529;Luxury Sedan;1;0;1;71;18;8;1;2;0;5;4;13
10536;Pickup Truck;1;0;1;41;10;6;3;1;2;10;4;17
10565;Basic Sedan;0;0;1;76;2;2;2;1;0;9;1;2
10739;Basic Sedan;1;0;1;58;12;3;1;2;2;14;2;5
10748;Basic Sedan;1;0;1;67;14;7;1;1;1;15;4;12
10833;Luxury Sedan;1;0;1;59;16;9;1;2;7;15;3;13
10895;SUV;1;0;1;50;10;7;2;1;6;15;2;9
10916;Basic Sedan;0;0;1;61;14;7;1;1;1;15;4;4
10921;Basic Sedan;1;0;1;62;9;2;4;1;2;15;1;5
10926;Luxury Sedan;1;0;1;76;14;7;4;1;4;15;2;11
11080;Basic Sedan;1;0;1;58;14;2;1;1;2;2;3;3
11099;Luxury Sedan;0;0;1;79;9;9;9;3;1;1;3;18
11205;Luxury Sedan;0;0;1;56;15;6;1;3;4;15;3;8
11242;Pickup Truck;1;0;1;64;14;7;2;2;0;15;4;5
11271;SUV;1;0;1;50;17;8;1;1;3;12;2;14
11273;Luxury Sedan;1;0;1;62;16;9;1;3;1;15;5;15
11279;Basic Sedan;1;0;1;36;13;2;1;1;1;12;5;9
11322;Luxury Sedan;0;0;1;63;19;9;1;3;2;13;2;17
11334;Luxury Sedan;1;0;1;72;15;9;3;3;2;15;3;10
11353;SUV;0;0;1;40;15;7;1;1;3;1;2;14
11379;Luxury Sedan;0;0;1;58;13;7;2;3;1;11;2;10
11399;Luxury Sedan;1;0;1;69;14;9;5;4;0;11;3;17
11549;Basic Sedan;0;0;1;76;15;7;1;2;0;15;2;9
11608;SUV;1;0;1;54;15;6;1;2;4;14;3;14
11655;Luxury Sedan;1;0;1;57;19;9;2;3;3;12;4;19
11660;Basic Sedan;0;0;1;56;18;8;1;3;3;15;6;12
11734;Luxury Sedan;1;0;1;78;18;9;3;3;0;15;4;16
11737;Basic Sedan;1;0;1;79;15;7;1;3;2;15;4;9
11749;Basic Sedan;1;0;1;66;15;7;1;2;0;15;2;9
11788;SUV;1;0;1;54;13;7;1;1;3;12;2;11
11868;Luxury Sedan;1;0;1;64;19;9;1;2;1;15;4;17
11904;Basic Sedan;1;0;1;70;9;5;2;1;0;15;2;7
11927;Luxury Sedan;1;0;1;53;18;9;2;2;1;15;4;17
11934;Luxury Sedan;0;0;1;52;15;7;1;2;2;12;3;8
11974;Pickup Truck;1;0;1;73;14;4;1;1;0;14;2;6
12063;Luxury Sedan;1;0;1;73;15;9;1;3;0;15;1;10
12077;SUV;1;0;1;50;19;9;2;2;4;12;2;17
12092;Basic Sedan;1;0;1;75;12;6;8;2;0;15;2;5
12094;Pickup Truck;1;0;1;43;3;5;4;1;1;11;2;3
12140;SUV;1;0;1;47;15;8;2;3;4;15;2;10
12171;Luxury Sedan;1;0;1;50;15;9;2;2;2;15;3;14
12195;Basic Sedan;1;0;1;59;13;2;2;1;2;14;1;6
12196;Basic Sedan;1;0;1;56;15;6;1;1;2;15;2;7
12263;Basic Sedan;0;0;1;60;14;6;1;2;1;10;3;3
12303;Luxury Sedan;1;0;1;66;17;9;1;2;0;2;2;8
12305;SUV;1;0;1;65;15;7;6;1;2;15;3;6
12306;SUV;1;0;1;47;14;5;3;1;4;15;3;3
12314;Luxury Sedan;0;0;1;70;19;9;1;3;0;15;4;15
12315;Luxury Sedan;1;0;1;65;19;9;4;1;1;10;5;17
12328;Luxury Sedan;1;0;1;68;15;9;3;2;2;10;2;17
12381;Luxury Sedan;1;0;1;57;17;9;3;2;1;15;5;16
12429;SUV;1;0;1;45;15;9;1;1;5;15;2;11
12441;Luxury Sedan;1;0;1;69;14;9;2;3;3;15;4;10
12452;Luxury Sedan;1;0;1;51;17;9;1;2;0;15;1;19
12579;Luxury Sedan;1;0;1;51;19;9;2;3;2;11;2;15
12632;SUV;1;0;1;44;17;9;1;2;3;8;4;18
12642;Luxury Sedan;1;0;1;61;14;4;1;1;2;15;2;8
12648;Luxury Sedan;0;3;1;72;14;9;5;2;0;7;1;11
12740;Luxury Sedan;0;2;1;70;19;9;3;2;1;14;4;17
12782;Pickup Truck;0;0;1;76;15;7;1;1;3;14;2;11
12844;Basic Sedan;0;0;1;79;2;2;4;1;1;15;3;4
12918;SUV;1;0;1;48;15;6;1;3;5;10;2;10
12932;SUV;1;0;1;45;16;8;1;2;4;3;2;15
12953;Luxury Sedan;1;0;1;59;18;9;3;3;1;15;2;17
12987;Luxury Sedan;0;0;1;65;14;5;1;1;1;15;2;5
